PHOTOID, LATITUDE, LONGITUDE, DATETIME
33593598032, 61.499330, 23.743010, 2016:01:01 00:00:00
33357787700, 61.492144, 23.735972, 2016:01:01 00:00:00
33742637405, 61.490908, 23.753211, 2016:01:01 00:00:00
33736866885, 61.640177, 26.081628, 2016:01:01 00:00:00
32923675843, 61.640177, 26.081628, 2016:01:01 00:00:00
32904248813, 61.640177, 26.081628, 2016:01:01 00:00:00
33716038585, 61.640177, 26.081628, 2016:01:01 00:00:00
33663823106, 61.466700, 24.083300, 2016:01:01 00:00:00
33643327086, 61.912936, 25.303622, 2016:01:01 00:00:00
33526309082, 61.486378, 23.757945, 2016:01:01 00:00:00
33516704802, 61.483050, 23.794130, 2016:01:01 00:00:00
33657295915, 61.476447, 24.505238, 2016:01:01 00:00:00
33271587220, 61.494444, 23.760833, 2016:01:01 00:00:00
33655342845, 61.493611, 23.758333, 2016:01:01 00:00:00
33526302001, 61.494166, 23.759722, 2016:01:01 00:00:00
33655340485, 61.486072, 23.784005, 2016:01:01 00:00:00
32812697424, 61.485644, 23.785311, 2016:01:01 00:00:00
33526292861, 61.485994, 23.784177, 2016:01:01 00:00:00
33655334545, 61.494200, 23.769883, 2016:01:01 00:00:00
33655332315, 61.483961, 23.748133, 2016:01:01 00:00:00
33498794892, 61.483808, 23.748086, 2016:01:01 00:00:00
32812682074, 61.484069, 23.748094, 2016:01:01 00:00:00
33655320085, 61.484091, 23.748097, 2016:01:01 00:00:00
33526272961, 61.484080, 23.748088, 2016:01:01 00:00:00
33271564710, 61.484333, 23.748750, 2016:01:01 00:00:00
33655309255, 61.484452, 23.749069, 2016:01:01 00:00:00
33498765262, 61.485027, 23.750855, 2016:01:01 00:00:00
32812611434, 61.522340, 23.947600, 2016:01:01 00:00:00
33516844391, 61.501644, 23.756689, 2016:01:01 00:00:00
33487663382, 61.912847, 25.304050, 2016:01:01 00:00:00
32830401293, 61.912913, 25.303202, 2016:01:01 00:00:00
32830401513, 61.912977, 25.303247, 2016:01:01 00:00:00
33260272020, 61.912797, 25.304011, 2016:01:01 00:00:00
33643839155, 61.912802, 25.304055, 2016:01:01 00:00:00
33586018256, 61.487592, 23.794841, 2016:01:01 00:00:00
33492196351, 61.482906, 23.847794, 2016:01:01 00:00:00
33618016325, 61.498297, 23.776297, 2016:01:01 00:00:00
33453319472, 62.252271, 25.745129, 2016:01:01 00:00:00
33559761376, 61.516927, 23.665638, 2016:01:01 00:00:00
33600223435, 61.507138, 23.633119, 2016:01:01 00:00:00
32757742254, 61.511344, 23.639369, 2016:01:01 00:00:00
33550682896, 61.497222, 23.756111, 2016:01:01 00:00:00
32777187123, 61.497500, 23.755833, 2016:01:01 00:00:00
33550680926, 61.497222, 23.756111, 2016:01:01 00:00:00
32777185643, 61.497222, 23.756111, 2016:01:01 00:00:00
33434451852, 61.497500, 23.756111, 2016:01:01 00:00:00
33545602436, 61.476516, 24.504722, 2016:01:01 00:00:00
33401092772, 61.499722, 23.729722, 2016:01:01 00:00:00
